,model,cluster_size,num_iter,duplicates_level,distortion_level,precision,recall,f1score,date
246,Both,2,50000,High,High,0.9945946,0.2941647,0.4540407,Tue_Mar__5_19_59_30_2024
247,Both,2,50000,High,High,0.9946381,0.2965627,0.4568966,Tue_Mar__5_22_37_41_2024
248,Both,2,50000,High,High,0.9918478,0.2917666,0.4508956,Tue_Mar__5_13_56_12_2024
249,Both,2,50000,High,High,0.9946092,0.294964,0.4549938,Wed_Mar__6_03_55_36_2024
255,Both,2,50000,High,High,0.9946092,0.294964,0.4549938,Wed_Mar__6_06_33_07_2024
295,Both,2,50000,High,High,0.9946381,0.2965627,0.4568966,Tue_Mar__5_22_45_19_2024
296,Both,2,50000,High,High,0.9919137,0.2941647,0.4537608,Wed_Mar__6_01_25_32_2024
304,Both,2,50000,High,High,0.9919137,0.2941647,0.4537608,Wed_Mar__6_06_41_32_2024
308,Both,2,50000,High,High,0.9918699,0.2925659,0.4518519,Tue_Mar__5_13_56_24_2024
316,Both,2,50000,High,High,0.9918699,0.2925659,0.4518519,Tue_Mar__5_17_27_02_2024
317,Both,2,50000,High,High,0.992,0.2973621,0.4575646,Wed_Mar__6_04_03_21_2024
318,Both,2,50000,High,High,0.9945799,0.2933653,0.4530864,Tue_Mar__5_20_05_19_2024
350,Both,2,50000,High,High,0.9919137,0.2941647,0.4537608,Tue_Mar__5_20_20_09_2024
351,Both,2,50000,High,High,0.9946237,0.2957634,0.4559458,Tue_Mar__5_13_56_33_2024
359,Both,2,50000,High,High,0.9919137,0.2941647,0.4537608,Tue_Mar__5_21_40_35_2024
361,Both,2,50000,High,High,0.9918919,0.2933653,0.4528069,Tue_Mar__5_16_06_28_2024
366,Both,2,50000,High,High,0.9919355,0.294964,0.4547135,Tue_Mar__5_17_33_34_2024
369,Both,2,50000,High,High,0.9891599,0.2917666,0.4506173,Tue_Mar__5_22_57_16_2024
373,Both,2,50000,High,High,0.9945946,0.2941647,0.4540407,Tue_Mar__5_19_00_06_2024
418,Both,2,50000,High,High,0.9919355,0.294964,0.4547135,Tue_Mar__5_18_58_21_2024
420,Both,2,50000,High,High,0.9919355,0.294964,0.4547135,Tue_Mar__5_13_56_52_2024
29,Both,2,50000,Low,High,1.0,0.75,0.8571429,Wed_Mar__6_07_09_00_2024
37,Both,2,50000,Low,High,1.0,0.75,0.8571429,Wed_Mar__6_03_44_22_2024
40,Both,2,50000,Low,High,1.0,0.75,0.8571429,Tue_Mar__5_20_56_37_2024
43,Both,2,50000,Low,High,1.0,0.75,0.8571429,Tue_Mar__5_13_55_13_2024
45,Both,2,50000,Low,High,1.0,0.7333333,0.8461538,Tue_Mar__5_17_27_50_2024
46,Both,2,50000,Low,High,1.0,0.75,0.8571429,Wed_Mar__6_00_21_32_2024
81,Both,2,50000,Low,High,1.0,0.75,0.8571429,Wed_Mar__6_04_06_03_2024
84,Both,2,50000,Low,High,1.0,0.75,0.8571429,Tue_Mar__5_13_55_08_2024
85,Both,2,50000,Low,High,1.0,0.75,0.8571429,Wed_Mar__6_01_20_55_2024
94,Both,2,50000,Low,High,1.0,0.75,0.8571429,Tue_Mar__5_19_47_54_2024
97,Both,2,50000,Low,High,1.0,0.75,0.8571429,Tue_Mar__5_16_58_23_2024
98,Both,2,50000,Low,High,1.0,0.75,0.8571429,Wed_Mar__6_06_41_40_2024
99,Both,2,50000,Low,High,1.0,0.75,0.8571429,Tue_Mar__5_22_32_58_2024
132,Both,2,50000,Low,High,1.0,0.7333333,0.8461538,Tue_Mar__5_19_35_21_2024
135,Both,2,50000,Low,High,1.0,0.75,0.8571429,Wed_Mar__6_05_54_15_2024
141,Both,2,50000,Low,High,1.0,0.75,0.8571429,Wed_Mar__6_00_47_33_2024
142,Both,2,50000,Low,High,1.0,0.75,0.8571429,Tue_Mar__5_13_55_20_2024
152,Both,2,50000,Low,High,1.0,0.75,0.8571429,Tue_Mar__5_22_08_21_2024
